conversation_id,sender,message,timestamp
en_0,user,I'm not sleeping well,2025-06-01 23:07:55
en_0,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-02-11 01:45:50
en_1,user,I'm feeling sick,2025-03-27 09:05:30
en_1,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-10 03:34:06
en_2,user,I'm feeling sick,2025-03-12 22:31:16
en_2,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-17 08:07:27
en_3,user,I'm not sleeping well,2025-06-25 17:55:45
en_3,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-02-01 12:17:51
en_4,user,I feel dizzy,2025-07-04 22:48:21
en_4,bot,Have you eaten or drunk anything unusual today?,2025-02-24 19:22:58
en_5,user,I'm feeling sick,2025-06-13 01:20:54
en_5,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-07-06 16:58:37
en_6,user,I'm not sleeping well,2025-04-30 15:12:14
en_6,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-06-24 03:55:52
en_7,user,I feel dizzy,2025-03-29 12:50:38
en_7,bot,Have you eaten or drunk anything unusual today?,2025-02-28 10:29:25
en_8,user,I'm not sleeping well,2025-01-29 21:00:29
en_8,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-06-22 03:28:57
en_9,user,I'm feeling sick,2025-03-18 04:21:23
en_9,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-02-13 13:25:24
en_10,user,What should I take for a cold?,2025-03-17 05:34:21
en_10,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-07-02 21:31:42
en_11,user,I have a headache,2025-02-25 13:57:49
en_11,bot,How long have you had the headache?,2025-01-05 04:52:51
en_12,user,I'm feeling sick,2025-01-04 04:47:37
en_12,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-03 21:33:44
en_13,user,What should I take for a cold?,2025-06-09 01:07:29
en_13,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-05-01 18:07:42
en_14,user,What should I take for a cold?,2025-05-02 11:47:28
en_14,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-06 00:14:35
en_15,user,What should I take for a cold?,2025-05-08 21:22:36
en_15,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-02-26 01:23:33
en_16,user,I feel dizzy,2025-01-26 00:07:17
en_16,bot,Have you eaten or drunk anything unusual today?,2025-05-03 23:54:28
en_17,user,I'm not sleeping well,2025-01-08 20:33:14
en_17,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-04-13 19:08:14
en_18,user,I'm not sleeping well,2025-05-22 06:11:34
en_18,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-02-20 12:13:36
en_19,user,What should I take for a cold?,2025-06-10 18:17:58
en_19,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-27 09:30:55
en_20,user,I'm feeling sick,2025-04-27 19:57:56
en_20,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-02-13 01:56:50
en_21,user,I have a headache,2025-06-10 07:53:49
en_21,bot,How long have you had the headache?,2025-05-11 09:04:33
en_22,user,I feel dizzy,2025-01-12 15:01:15
en_22,bot,Have you eaten or drunk anything unusual today?,2025-06-15 17:37:17
en_23,user,I feel dizzy,2025-06-01 14:30:21
en_23,bot,Have you eaten or drunk anything unusual today?,2025-02-16 18:45:08
en_24,user,I'm feeling sick,2025-04-04 10:24:30
en_24,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-07-02 23:41:20
en_25,user,I feel dizzy,2025-06-28 16:56:26
en_25,bot,Have you eaten or drunk anything unusual today?,2025-02-08 03:59:13
en_26,user,What should I take for a cold?,2025-07-01 12:45:53
en_26,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-02-07 13:50:02
en_27,user,I'm feeling sick,2025-01-18 03:55:49
en_27,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-28 01:16:27
en_28,user,What should I take for a cold?,2025-03-04 14:07:46
en_28,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-02-15 07:55:17
en_29,user,I feel dizzy,2025-05-12 18:37:39
en_29,bot,Have you eaten or drunk anything unusual today?,2025-04-25 16:35:49
en_30,user,I'm feeling sick,2025-05-12 14:49:35
en_30,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-01-22 22:03:30
en_31,user,I feel dizzy,2025-05-22 04:48:29
en_31,bot,Have you eaten or drunk anything unusual today?,2025-01-24 07:04:07
en_32,user,I have a headache,2025-06-01 19:38:42
en_32,bot,How long have you had the headache?,2025-05-19 02:59:43
en_33,user,I'm not sleeping well,2025-04-04 05:20:25
en_33,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-07-14 14:10:57
en_34,user,I feel dizzy,2025-02-18 13:42:39
en_34,bot,Have you eaten or drunk anything unusual today?,2025-06-13 12:33:53
en_35,user,What should I take for a cold?,2025-07-03 09:25:49
en_35,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-07-17 10:39:17
en_36,user,I feel dizzy,2025-01-22 12:39:59
en_36,bot,Have you eaten or drunk anything unusual today?,2025-07-03 05:06:59
en_37,user,I have a headache,2025-06-23 12:19:35
en_37,bot,How long have you had the headache?,2025-01-14 17:44:40
en_38,user,I have a headache,2025-05-08 11:03:05
en_38,bot,How long have you had the headache?,2025-04-15 12:21:03
en_39,user,I'm not sleeping well,2025-05-19 22:04:02
en_39,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-08 07:23:43
en_40,user,What should I take for a cold?,2025-02-16 16:51:42
en_40,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-01 08:01:46
en_41,user,I have a headache,2025-03-30 15:07:43
en_41,bot,How long have you had the headache?,2025-03-01 05:09:02
en_42,user,I feel dizzy,2025-02-23 09:11:37
en_42,bot,Have you eaten or drunk anything unusual today?,2025-05-14 17:08:32
en_43,user,I'm feeling sick,2025-01-10 08:49:59
en_43,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-19 05:58:42
en_44,user,I have a headache,2025-04-16 19:30:36
en_44,bot,How long have you had the headache?,2025-07-09 03:51:52
en_45,user,What should I take for a cold?,2025-03-17 05:43:57
en_45,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-02 18:12:00
en_46,user,What should I take for a cold?,2025-04-07 13:26:02
en_46,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-11 08:52:51
en_47,user,What should I take for a cold?,2025-01-24 08:06:45
en_47,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-02-05 04:09:41
en_48,user,I'm feeling sick,2025-01-15 11:12:12
en_48,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-08 01:08:46
en_49,user,I have a headache,2025-06-18 15:10:20
en_49,bot,How long have you had the headache?,2025-05-16 03:04:02
en_50,user,I'm feeling sick,2025-03-08 06:53:49
en_50,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-29 06:43:27
en_51,user,I feel dizzy,2025-04-27 01:12:45
en_51,bot,Have you eaten or drunk anything unusual today?,2025-02-23 09:00:01
en_52,user,I'm not sleeping well,2025-01-19 10:24:45
en_52,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-05-09 09:38:49
en_53,user,I'm feeling sick,2025-02-14 08:46:54
en_53,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-18 08:29:37
en_54,user,I'm not sleeping well,2025-07-02 03:53:39
en_54,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-02-13 10:03:20
en_55,user,I'm not sleeping well,2025-05-29 13:48:23
en_55,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-06-17 00:56:32
en_56,user,I feel dizzy,2025-03-12 13:00:41
en_56,bot,Have you eaten or drunk anything unusual today?,2025-06-25 16:58:17
en_57,user,I'm feeling sick,2025-06-30 04:41:05
en_57,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-09 07:06:40
en_58,user,I'm feeling sick,2025-01-12 23:58:17
en_58,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-08 19:34:09
en_59,user,What should I take for a cold?,2025-06-05 12:36:57
en_59,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-19 15:49:03
en_60,user,I'm not sleeping well,2025-01-14 16:01:36
en_60,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-05-10 10:55:19
en_61,user,I'm feeling sick,2025-07-03 20:11:35
en_61,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-13 15:46:47
en_62,user,I'm not sleeping well,2025-03-27 13:12:26
en_62,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-01-08 18:12:47
en_63,user,I'm feeling sick,2025-05-06 12:53:58
en_63,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-29 14:41:26
en_64,user,What should I take for a cold?,2025-03-31 22:14:44
en_64,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-31 09:08:26
en_65,user,I'm not sleeping well,2025-07-14 00:44:14
en_65,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-05-02 22:49:13
en_66,user,I'm not sleeping well,2025-06-27 23:16:08
en_66,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-01-20 13:56:50
en_67,user,I have a headache,2025-07-02 13:17:37
en_67,bot,How long have you had the headache?,2025-01-11 04:09:26
en_68,user,I'm feeling sick,2025-05-19 04:32:08
en_68,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-26 04:58:25
en_69,user,I'm not sleeping well,2025-05-05 15:15:10
en_69,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-04-20 02:37:10
en_70,user,I'm not sleeping well,2025-01-18 23:51:59
en_70,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-07-05 04:15:47
en_71,user,I have a headache,2025-07-06 11:21:00
en_71,bot,How long have you had the headache?,2025-03-08 22:07:53
en_72,user,I'm feeling sick,2025-02-02 21:56:49
en_72,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-28 07:08:29
en_73,user,I'm not sleeping well,2025-06-11 04:23:14
en_73,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-10 05:18:45
en_74,user,I'm feeling sick,2025-02-25 17:34:23
en_74,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-24 09:30:32
en_75,user,I feel dizzy,2025-05-28 22:15:21
en_75,bot,Have you eaten or drunk anything unusual today?,2025-01-18 23:32:02
en_76,user,What should I take for a cold?,2025-01-04 05:41:16
en_76,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-04-10 03:06:41
en_77,user,I have a headache,2025-05-27 01:10:39
en_77,bot,How long have you had the headache?,2025-06-04 19:38:03
en_78,user,I have a headache,2025-03-31 22:35:14
en_78,bot,How long have you had the headache?,2025-06-21 10:18:24
en_79,user,I have a headache,2025-04-08 12:09:53
en_79,bot,How long have you had the headache?,2025-01-18 13:30:10
en_80,user,I have a headache,2025-01-28 22:49:20
en_80,bot,How long have you had the headache?,2025-07-09 18:28:53
en_81,user,I feel dizzy,2025-03-22 10:10:04
en_81,bot,Have you eaten or drunk anything unusual today?,2025-05-24 19:03:22
en_82,user,I'm feeling sick,2025-06-18 04:38:59
en_82,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-23 06:15:06
en_83,user,I feel dizzy,2025-06-18 18:27:23
en_83,bot,Have you eaten or drunk anything unusual today?,2025-06-27 16:20:34
en_84,user,I feel dizzy,2025-04-27 22:38:38
en_84,bot,Have you eaten or drunk anything unusual today?,2025-02-09 04:49:21
en_85,user,I'm feeling sick,2025-03-07 21:18:52
en_85,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-28 10:20:43
en_86,user,I feel dizzy,2025-05-14 07:10:05
en_86,bot,Have you eaten or drunk anything unusual today?,2025-04-08 20:35:22
en_87,user,I'm feeling sick,2025-05-17 01:26:33
en_87,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-18 05:10:03
en_88,user,I have a headache,2025-06-22 23:03:01
en_88,bot,How long have you had the headache?,2025-04-20 17:57:44
en_89,user,I have a headache,2025-06-18 14:41:43
en_89,bot,How long have you had the headache?,2025-05-05 21:17:10
en_90,user,I feel dizzy,2025-07-14 12:58:52
en_90,bot,Have you eaten or drunk anything unusual today?,2025-05-10 21:55:50
en_91,user,I have a headache,2025-01-01 07:57:34
en_91,bot,How long have you had the headache?,2025-05-09 15:16:12
en_92,user,I'm feeling sick,2025-04-12 15:53:26
en_92,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-04 06:36:10
en_93,user,I feel dizzy,2025-03-24 02:32:54
en_93,bot,Have you eaten or drunk anything unusual today?,2025-01-06 17:12:02
en_94,user,I'm feeling sick,2025-06-28 18:56:34
en_94,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-02-15 22:05:10
